transID,fromBankAccount,toBankAccount,amount,method,status,surplus,fees,typeID,content,createDate
20,8203283023,1333924038,43101165.8,atm card,success,17078936.61,8620.23,10,8203283023 chuyen den 1333924038,2024-09-12 00:06:40
21,7976125545,3052928452,18331432.67,atm card,success,22758442.18,3666.29,7,7976125545 chuyen den 3052928452,2024-09-12 00:07:00
22,6496913603,5920548482,16473968.08,wire transfer,success,19741912.56,3294.79,7,6496913603 chuyen den 5920548482,2024-09-12 00:07:20
23,3052928452,2843848429,11628952.61,atm card,success,42651356.77,2325.79,6,3052928452 chuyen den 2843848429,2024-09-12 00:07:40
24,6303485293,8203283023,10272970.33,atm card,success,20401293.57,2054.59,9,6303485293 chuyen den 8203283023,2024-09-12 00:08:00
25,1333924038,6496913603,39351735.86,atm card,success,31033295.56,7870.35,3,1333924038 chuyen den 6496913603,2024-09-12 00:08:20
26,2843848429,3960086839,41066373.39,credit card,success,27283946.99,8213.27,4,2843848429 chuyen den 3960086839,2024-09-12 00:08:40
27,9274922399,9274922399,27618878.78,credit card,success,43682844.25,5523.78,9,9274922399 chuyen den 9274922399,2024-09-12 00:09:00
28,9274922399,3960086839,1276467.39,atm card,success,36337330.4,255.29,8,9274922399 chuyen den 3960086839,2024-09-12 00:09:20
29,3052928452,9274922399,36029426.64,debit card,success,24061615.93,7205.89,6,3052928452 chuyen den 9274922399,2024-09-12 00:09:40
30,8203283023,6303485293,38689948.39,credit card,success,39469198.62,7737.99,1,8203283023 chuyen den 6303485293,2024-09-12 00:10:00
31,5920548482,3960086839,22722953.79,wire transfer,success,2622470.94,4544.59,7,5920548482 chuyen den 3960086839,2024-09-12 00:10:20
32,3052928452,1333924038,23939167.18,atm card,success,48423758.13,4787.83,9,3052928452 chuyen den 1333924038,2024-09-12 00:10:40
33,2843848429,7976125545,45487519.64,atm card,success,21652631.36,9097.5,9,2843848429 chuyen den 7976125545,2024-09-12 00:11:00
34,6496913603,6496913603,47341320.88,credit card,success,18152986.58,9468.26,5,6496913603 chuyen den 6496913603,2024-09-12 00:11:20
35,6303485293,2843848429,42772405.93,atm card,success,7726244.37,8554.48,2,6303485293 chuyen den 2843848429,2024-09-12 00:11:40
36,3052928452,5920548482,45730821.42,wire transfer,success,43410561.66,9146.16,5,3052928452 chuyen den 5920548482,2024-09-12 00:12:00
37,6496913603,6303485293,30931308.8,debit card,success,22012858.1,6186.26,8,6496913603 chuyen den 6303485293,2024-09-12 00:12:20
38,5920548482,3960086839,37964362.4,credit card,success,36314155.81,7592.87,1,5920548482 chuyen den 3960086839,2024-09-12 00:12:40
39,7976125545,7976125545,34414758.19,debit card,success,2834094.18,6882.95,5,7976125545 chuyen den 7976125545,2024-09-12 00:13:00
40,7976125545,1333924038,48175327.0,wire transfer,success,7154957.76,9635.07,8,7976125545 chuyen den 1333924038,2024-09-12 00:13:20
41,9274922399,3960086839,22589770.75,debit card,success,46820911.05,4517.95,4,9274922399 chuyen den 3960086839,2024-09-12 00:13:40
42,3960086839,6303485293,3503691.61,atm card,success,12266294.59,700.74,10,3960086839 chuyen den 6303485293,2024-09-12 00:14:00
43,8203283023,8203283023,10319884.12,debit card,success,18234121.71,2063.98,1,8203283023 chuyen den 8203283023,2024-09-12 00:14:20
44,7976125545,3960086839,4295191.87,atm card,success,21467206.59,859.04,3,7976125545 chuyen den 3960086839,2024-09-12 00:14:40
45,2843848429,1333924038,30033924.45,debit card,success,39568482.71,6006.78,6,2843848429 chuyen den 1333924038,2024-09-12 00:15:00
46,1333924038,6496913603,26691887.6,debit card,success,37593234.13,5338.38,3,1333924038 chuyen den 6496913603,2024-09-12 00:15:20
47,6496913603,2843848429,2373609.11,debit card,success,48311152.81,474.72,9,6496913603 chuyen den 2843848429,2024-09-12 00:15:40
48,7976125545,3960086839,4645598.27,credit card,success,9424635.63,929.12,6,7976125545 chuyen den 3960086839,2024-09-12 00:16:00
49,3052928452,7976125545,13806368.86,debit card,success,6479362.39,2761.27,1,3052928452 chuyen den 7976125545,2024-09-12 00:16:20
50,3052928452,3960086839,19307736.1,wire transfer,success,39215996.88,3861.55,9,3052928452 chuyen den 3960086839,2024-09-12 00:16:40
51,3960086839,7976125545,34967854.44,debit card,success,25285626.95,6993.57,1,3960086839 chuyen den 7976125545,2024-09-12 00:17:00
52,1333924038,6303485293,30225506.02,wire transfer,success,3406461.79,6045.1,2,1333924038 chuyen den 6303485293,2024-09-12 00:17:20
53,8203283023,2843848429,32130728.58,atm card,success,49228358.7,6426.15,5,8203283023 chuyen den 2843848429,2024-09-12 00:17:40
54,6496913603,3052928452,33583011.21,atm card,success,33904764.58,6716.6,2,6496913603 chuyen den 3052928452,2024-09-12 00:18:00
55,3960086839,1333924038,7665797.62,wire transfer,success,5314119.25,1533.16,8,3960086839 chuyen den 1333924038,2024-09-12 00:18:20
56,8203283023,9274922399,26995465.83,atm card,success,41006051.79,5399.09,6,8203283023 chuyen den 9274922399,2024-09-12 00:18:40
57,9274922399,1333924038,27334342.05,credit card,success,46301637.26,5466.87,5,9274922399 chuyen den 1333924038,2024-09-12 00:19:00
58,7976125545,6303485293,4777227.67,wire transfer,success,4596700.73,955.45,10,7976125545 chuyen den 6303485293,2024-09-12 00:19:20
59,8203283023,1333924038,48787011.26,credit card,success,4599732.2,9757.4,1,8203283023 chuyen den 1333924038,2024-09-12 00:19:40
60,6303485293,7976125545,30123673.82,atm card,success,45932761.44,6024.73,4,6303485293 chuyen den 7976125545,2024-09-12 00:20:00
61,6303485293,7976125545,20222215.74,wire transfer,success,4614028.85,4044.44,5,6303485293 chuyen den 7976125545,2024-09-12 00:20:20
62,9274922399,1333924038,8666890.75,wire transfer,success,14620234.9,1733.38,8,9274922399 chuyen den 1333924038,2024-09-12 00:20:40
63,5920548482,2843848429,33413727.91,debit card,success,48074576.63,6682.75,3,5920548482 chuyen den 2843848429,2024-09-12 00:21:00
64,9274922399,6303485293,46815041.91,atm card,success,10365005.12,9363.01,4,9274922399 chuyen den 6303485293,2024-09-12 00:21:20
65,9274922399,9274922399,40693342.47,debit card,success,42746897.51,8138.67,8,9274922399 chuyen den 9274922399,2024-09-12 00:21:40
66,5920548482,3960086839,23664265.35,debit card,success,24216072.43,4732.85,10,5920548482 chuyen den 3960086839,2024-09-12 00:22:00
67,9274922399,9274922399,15265435.44,debit card,success,3542572.88,3053.09,10,9274922399 chuyen den 9274922399,2024-09-12 00:22:20
68,1333924038,8203283023,40539135.06,atm card,success,32388461.85,8107.83,1,1333924038 chuyen den 8203283023,2024-09-12 00:22:40
69,2843848429,6303485293,39393616.5,debit card,success,38424397.34,7878.72,3,2843848429 chuyen den 6303485293,2024-09-12 00:23:00
70,5920548482,3960086839,18900254.84,atm card,success,27022888.35,3780.05,4,5920548482 chuyen den 3960086839,2024-09-12 00:23:20
71,7976125545,2843848429,7584594.5,atm card,success,39842299.61,1516.92,10,7976125545 chuyen den 2843848429,2024-09-12 00:23:40
72,6496913603,2843848429,37925691.97,atm card,success,47494701.55,7585.14,8,6496913603 chuyen den 2843848429,2024-09-12 00:24:00
73,8203283023,2843848429,38011118.87,atm card,success,44917406.09,7602.22,4,8203283023 chuyen den 2843848429,2024-09-12 00:24:20
74,9274922399,3052928452,25791413.57,credit card,success,48358951.79,5158.28,2,9274922399 chuyen den 3052928452,2024-09-12 00:24:40
75,3960086839,6303485293,38779036.82,debit card,success,49397481.07,7755.81,9,3960086839 chuyen den 6303485293,2024-09-12 00:25:00
76,9274922399,3960086839,44631298.49,atm card,success,15850746.14,8926.26,9,9274922399 chuyen den 3960086839,2024-09-12 00:25:20
77,6303485293,1333924038,35895022.09,debit card,success,18878989.3,7179.0,9,6303485293 chuyen den 1333924038,2024-09-12 00:25:40
78,8203283023,1333924038,11394952.11,wire transfer,success,43496248.95,2278.99,7,8203283023 chuyen den 1333924038,2024-09-12 00:26:00
79,1333924038,5920548482,43935392.24,debit card,success,1713705.28,8787.08,4,1333924038 chuyen den 5920548482,2024-09-12 00:26:20
80,5920548482,1333924038,4645446.73,credit card,success,11530203.45,929.09,7,5920548482 chuyen den 1333924038,2024-09-12 00:26:40
81,5920548482,7976125545,20540291.06,wire transfer,success,7045780.1,4108.06,1,5920548482 chuyen den 7976125545,2024-09-12 00:27:00
82,7976125545,8203283023,18060493.57,debit card,success,21974186.39,3612.1,2,7976125545 chuyen den 8203283023,2024-09-12 00:27:20
83,3052928452,3052928452,36316985.03,debit card,success,30716681.46,7263.4,10,3052928452 chuyen den 3052928452,2024-09-12 00:27:40
84,8203283023,1333924038,38187497.5,atm card,success,31614912.17,7637.5,2,8203283023 chuyen den 1333924038,2024-09-12 00:28:00
85,1333924038,9274922399,9334888.2,credit card,success,24203970.72,1866.98,1,1333924038 chuyen den 9274922399,2024-09-12 00:28:20
86,5920548482,9274922399,7594997.17,credit card,success,13700099.64,1519.0,9,5920548482 chuyen den 9274922399,2024-09-12 00:28:40
87,9274922399,6303485293,12724497.72,atm card,success,11204446.11,2544.9,7,9274922399 chuyen den 6303485293,2024-09-12 00:29:00
88,8203283023,9274922399,9941454.49,debit card,success,22176275.32,1988.29,7,8203283023 chuyen den 9274922399,2024-09-12 00:29:20
89,6303485293,9274922399,4605257.09,credit card,success,36557719.45,921.05,8,6303485293 chuyen den 9274922399,2024-09-12 00:29:40
90,1333924038,3052928452,41732187.85,debit card,success,49300994.25,8346.44,4,1333924038 chuyen den 3052928452,2024-09-12 00:30:00
91,6303485293,5920548482,34146170.86,atm card,success,10859129.08,6829.23,9,6303485293 chuyen den 5920548482,2024-09-12 00:30:20
92,6496913603,3052928452,27505205.54,debit card,success,1408632.8,5501.04,2,6496913603 chuyen den 3052928452,2024-09-12 00:30:40
93,8203283023,3052928452,23555817.91,atm card,success,15527182.36,4711.16,2,8203283023 chuyen den 3052928452,2024-09-12 00:31:00
94,3960086839,3960086839,24967726.17,debit card,success,43690491.2,4993.55,3,3960086839 chuyen den 3960086839,2024-09-12 00:31:20
95,3052928452,6303485293,4361237.13,debit card,success,21566072.93,872.25,4,3052928452 chuyen den 6303485293,2024-09-12 00:31:40
96,9274922399,3960086839,32447662.88,atm card,success,40852169.01,6489.53,6,9274922399 chuyen den 3960086839,2024-09-12 00:32:00
97,7976125545,1333924038,2415084.44,credit card,success,15107914.34,483.02,7,7976125545 chuyen den 1333924038,2024-09-12 00:32:20
98,9274922399,3052928452,33208378.51,debit card,success,4032817.12,6641.68,3,9274922399 chuyen den 3052928452,2024-09-12 00:32:40
99,6303485293,3960086839,46482003.16,debit card,success,17328400.38,9296.4,10,6303485293 chuyen den 3960086839,2024-09-12 00:33:00
100,6303485293,1333924038,10475471.28,debit card,success,46666835.4,2095.09,9,6303485293 chuyen den 1333924038,2024-09-12 00:33:20
101,6303485293,3052928452,40270364.46,debit card,success,38512580.75,8054.07,4,6303485293 chuyen den 3052928452,2024-09-12 00:33:40
102,7976125545,2843848429,39051972.96,credit card,success,29704957.59,7810.39,6,7976125545 chuyen den 2843848429,2024-09-12 00:34:00
103,6303485293,7976125545,41927217.68,credit card,success,49241001.01,8385.44,1,6303485293 chuyen den 7976125545,2024-09-12 00:34:20
104,6496913603,3052928452,31109091.06,credit card,success,22888040.4,6221.82,9,6496913603 chuyen den 3052928452,2024-09-12 00:34:40
105,3960086839,6303485293,38543728.4,debit card,success,43734953.13,7708.75,7,3960086839 chuyen den 6303485293,2024-09-12 00:35:00
106,5920548482,6496913603,5241996.82,wire transfer,success,36083843.17,1048.4,4,5920548482 chuyen den 6496913603,2024-09-12 00:35:20
107,2843848429,9274922399,42497962.27,wire transfer,success,10342665.33,8499.59,5,2843848429 chuyen den 9274922399,2024-09-12 00:35:40
108,5920548482,8203283023,25255154.05,debit card,success,15147966.07,5051.03,1,5920548482 chuyen den 8203283023,2024-09-12 00:36:00
109,5920548482,5920548482,21171802.82,credit card,success,25883173.1,4234.36,9,5920548482 chuyen den 5920548482,2024-09-12 00:36:20
110,6496913603,6496913603,32315284.46,wire transfer,success,5461966.9,6463.06,5,6496913603 chuyen den 6496913603,2024-09-12 00:36:40
111,3960086839,5920548482,30456511.05,wire transfer,success,31515714.84,6091.3,9,3960086839 chuyen den 5920548482,2024-09-12 00:37:00
112,5920548482,6496913603,43680966.28,atm card,success,7628222.7,8736.19,1,5920548482 chuyen den 6496913603,2024-09-12 00:37:20
113,8203283023,9274922399,8285124.44,credit card,success,17231354.99,1657.02,7,8203283023 chuyen den 9274922399,2024-09-12 00:37:40
114,2843848429,3052928452,8490881.61,credit card,success,35860128.45,1698.18,9,2843848429 chuyen den 3052928452,2024-09-12 00:38:00
115,9274922399,5920548482,3748772.59,atm card,success,6412345.33,749.75,6,9274922399 chuyen den 5920548482,2024-09-12 00:38:20
116,6496913603,5920548482,9202579.57,wire transfer,success,11475893.53,1840.52,10,6496913603 chuyen den 5920548482,2024-09-12 00:38:40
117,6303485293,9274922399,49881443.11,debit card,success,38467686.34,9976.29,6,6303485293 chuyen den 9274922399,2024-09-12 00:39:00
118,5920548482,3052928452,7910413.03,wire transfer,success,10908157.22,1582.08,7,5920548482 chuyen den 3052928452,2024-09-12 00:39:20
119,7976125545,5920548482,41332927.61,atm card,success,14363094.91,8266.59,6,7976125545 chuyen den 5920548482,2024-09-12 00:39:40
120,6496913603,5920548482,14986691.51,wire transfer,success,26735149.67,2997.34,3,6496913603 chuyen den 5920548482,2024-09-12 00:40:00
121,5920548482,8203283023,10238990.59,wire transfer,success,5677642.11,2047.8,7,5920548482 chuyen den 8203283023,2024-09-12 00:40:20
122,1333924038,1333924038,49891751.55,wire transfer,success,8927018.73,9978.35,9,1333924038 chuyen den 1333924038,2024-09-12 00:40:40
123,6496913603,3052928452,48710626.33,credit card,success,8813219.7,9742.13,3,6496913603 chuyen den 3052928452,2024-09-12 00:41:00
124,6303485293,6496913603,2630020.98,credit card,success,48781964.46,526.0,1,6303485293 chuyen den 6496913603,2024-09-12 00:41:20
125,6496913603,6496913603,42116072.1,credit card,success,41653184.1,8423.21,6,6496913603 chuyen den 6496913603,2024-09-12 00:41:40
126,5920548482,6496913603,20226688.43,atm card,success,29215044.06,4045.34,6,5920548482 chuyen den 6496913603,2024-09-12 00:42:00
127,1333924038,3960086839,47116049.04,atm card,success,29497959.16,9423.21,2,1333924038 chuyen den 3960086839,2024-09-12 00:42:20
128,9274922399,3052928452,30428462.96,atm card,success,49890867.43,6085.69,8,9274922399 chuyen den 3052928452,2024-09-12 00:42:40
129,6496913603,1333924038,6483288.09,wire transfer,success,14512208.87,1296.66,6,6496913603 chuyen den 1333924038,2024-09-12 00:43:00
130,2843848429,7976125545,49544113.43,debit card,success,45369282.26,9908.82,5,2843848429 chuyen den 7976125545,2024-09-12 00:43:20
131,8203283023,1333924038,47365394.76,atm card,success,43651500.67,9473.08,8,8203283023 chuyen den 1333924038,2024-09-12 00:43:40
132,9274922399,3960086839,25203328.06,atm card,success,49456249.76,5040.67,9,9274922399 chuyen den 3960086839,2024-09-12 00:44:00
133,8203283023,5920548482,12556734.98,wire transfer,success,45728852.97,2511.35,2,8203283023 chuyen den 5920548482,2024-09-12 00:44:20
134,3052928452,3052928452,22236813.96,credit card,success,20376681.44,4447.36,9,3052928452 chuyen den 3052928452,2024-09-12 00:44:40
135,2843848429,5920548482,41916345.31,credit card,success,5375836.11,8383.27,2,2843848429 chuyen den 5920548482,2024-09-12 00:45:00
136,5920548482,9274922399,39278713.94,wire transfer,success,18333262.02,7855.74,3,5920548482 chuyen den 9274922399,2024-09-12 00:45:20
137,1333924038,3052928452,5993903.73,atm card,success,14312505.03,1198.78,3,1333924038 chuyen den 3052928452,2024-09-12 00:45:40
138,3960086839,8203283023,42725935.23,wire transfer,success,39350558.27,8545.19,5,3960086839 chuyen den 8203283023,2024-09-12 00:46:00
139,6496913603,5920548482,48093283.57,credit card,success,48710061.88,9618.66,8,6496913603 chuyen den 5920548482,2024-09-12 00:46:20
140,6303485293,8203283023,30994741.17,credit card,success,25855649.04,6198.95,2,6303485293 chuyen den 8203283023,2024-09-12 00:46:40
141,6496913603,3052928452,20054728.08,credit card,success,7822337.61,4010.95,7,6496913603 chuyen den 3052928452,2024-09-12 00:47:00
142,1333924038,3960086839,44168360.73,wire transfer,success,45719978.51,8833.67,3,1333924038 chuyen den 3960086839,2024-09-12 00:47:20
143,3960086839,3052928452,37268246.71,credit card,success,47157866.03,7453.65,7,3960086839 chuyen den 3052928452,2024-09-12 00:47:40
144,1333924038,2843848429,10585033.21,wire transfer,success,12002510.66,2117.01,7,1333924038 chuyen den 2843848429,2024-09-12 00:48:00
145,2843848429,7976125545,29262739.51,wire transfer,success,40198925.42,5852.55,6,2843848429 chuyen den 7976125545,2024-09-12 00:48:20
146,6496913603,3052928452,17206786.28,wire transfer,success,15779359.11,3441.36,2,6496913603 chuyen den 3052928452,2024-09-12 00:48:40
147,9274922399,6496913603,41048714.5,debit card,success,1339027.43,8209.74,1,9274922399 chuyen den 6496913603,2024-09-12 00:49:00
148,7976125545,6303485293,16538919.04,atm card,success,46160811.62,3307.78,5,7976125545 chuyen den 6303485293,2024-09-12 00:49:20
149,6303485293,8203283023,11607775.31,wire transfer,success,47275931.68,2321.56,9,6303485293 chuyen den 8203283023,2024-09-12 00:49:40
150,2843848429,6303485293,19649388.89,debit card,success,19168118.59,3929.88,5,2843848429 chuyen den 6303485293,2024-09-12 00:50:00
151,2843848429,3960086839,33865287.16,debit card,success,2110170.58,6773.06,4,2843848429 chuyen den 3960086839,2024-09-12 00:50:20
152,3960086839,1333924038,6786207.36,wire transfer,success,19416009.83,1357.24,8,3960086839 chuyen den 1333924038,2024-09-12 00:50:40
153,9274922399,7976125545,19584574.94,debit card,success,18196232.33,3916.91,6,9274922399 chuyen den 7976125545,2024-09-12 00:51:00
154,2843848429,8203283023,3466009.17,wire transfer,success,36150821.39,693.2,9,2843848429 chuyen den 8203283023,2024-09-12 00:51:20
155,5920548482,6303485293,31855878.83,atm card,success,48516308.61,6371.18,4,5920548482 chuyen den 6303485293,2024-09-12 00:51:40
156,6303485293,6496913603,4135965.0,credit card,success,43155057.08,827.19,3,6303485293 chuyen den 6496913603,2024-09-12 00:52:00
157,6303485293,3960086839,26254503.1,credit card,success,40792882.2,5250.9,6,6303485293 chuyen den 3960086839,2024-09-12 00:52:20
158,3052928452,6496913603,2910562.6,credit card,success,27790523.17,582.11,4,3052928452 chuyen den 6496913603,2024-09-12 00:52:40
159,8203283023,1333924038,46842191.11,debit card,success,30606746.17,9368.44,5,8203283023 chuyen den 1333924038,2024-09-12 00:53:00
160,5920548482,6303485293,22964772.67,wire transfer,success,24045286.22,4592.95,7,5920548482 chuyen den 6303485293,2024-09-12 00:53:20
161,3052928452,6496913603,1483691.61,credit card,success,7134323.98,296.74,2,3052928452 chuyen den 6496913603,2024-09-12 00:53:40
162,8203283023,2843848429,47533187.44,credit card,success,43806828.82,9506.64,8,8203283023 chuyen den 2843848429,2024-09-12 00:54:00
163,7976125545,8203283023,17953202.75,credit card,success,15547970.4,3590.64,10,7976125545 chuyen den 8203283023,2024-09-12 00:54:20
164,3052928452,9274922399,24643650.69,wire transfer,success,27933083.71,4928.73,5,3052928452 chuyen den 9274922399,2024-09-12 00:54:40
165,3052928452,3052928452,7271206.79,credit card,success,44105381.85,1454.24,2,3052928452 chuyen den 3052928452,2024-09-12 00:55:00
166,7976125545,3052928452,48625635.44,debit card,success,31448133.85,9725.13,8,7976125545 chuyen den 3052928452,2024-09-12 00:55:20
167,8203283023,3960086839,19964404.97,credit card,success,14782183.92,3992.88,7,8203283023 chuyen den 3960086839,2024-09-12 00:55:40
168,2843848429,9274922399,7587381.51,credit card,success,32348421.29,1517.48,3,2843848429 chuyen den 9274922399,2024-09-12 00:56:00
169,8203283023,6496913603,20012962.81,atm card,success,25598361.01,4002.59,4,8203283023 chuyen den 6496913603,2024-09-12 00:56:20
170,3052928452,5920548482,24039700.74,credit card,success,23486093.09,4807.94,5,3052928452 chuyen den 5920548482,2024-09-12 00:56:40
171,3052928452,8203283023,44921417.81,debit card,success,34501795.71,8984.28,8,3052928452 chuyen den 8203283023,2024-09-12 00:57:00
172,3052928452,3960086839,32531745.52,credit card,success,16816173.8,6506.35,2,3052928452 chuyen den 3960086839,2024-09-12 00:57:20
173,5920548482,5920548482,24731506.13,credit card,success,1685964.06,4946.3,9,5920548482 chuyen den 5920548482,2024-09-12 00:57:40
174,9274922399,3960086839,44537304.88,atm card,success,9620127.57,8907.46,9,9274922399 chuyen den 3960086839,2024-09-12 00:58:00
175,6303485293,6496913603,35323013.38,credit card,success,37339656.31,7064.6,9,6303485293 chuyen den 6496913603,2024-09-12 00:58:20
176,6303485293,1333924038,3217516.21,credit card,success,37487766.39,643.5,3,6303485293 chuyen den 1333924038,2024-09-12 00:58:40
177,6303485293,2843848429,38367337.39,atm card,success,48365615.82,7673.47,7,6303485293 chuyen den 2843848429,2024-09-12 00:59:00
178,1333924038,3052928452,18675252.06,atm card,success,26400435.0,3735.05,6,1333924038 chuyen den 3052928452,2024-09-12 00:59:20
179,7976125545,7976125545,34228987.29,debit card,success,26931266.08,6845.8,6,7976125545 chuyen den 7976125545,2024-09-12 00:59:40
180,9274922399,6303485293,44865934.51,atm card,success,35407444.45,8973.19,3,9274922399 chuyen den 6303485293,2024-09-12 01:00:00
181,5920548482,1333924038,15463967.46,debit card,success,25395864.61,3092.79,7,5920548482 chuyen den 1333924038,2024-09-12 01:00:20
182,3052928452,2843848429,10801120.65,debit card,success,6381079.0,2160.22,3,3052928452 chuyen den 2843848429,2024-09-12 01:00:40
183,8203283023,9274922399,40473024.81,wire transfer,success,40910480.6,8094.6,7,8203283023 chuyen den 9274922399,2024-09-12 01:01:00
184,6496913603,6496913603,34295575.08,atm card,success,14009720.71,6859.12,3,6496913603 chuyen den 6496913603,2024-09-12 01:01:20
185,6303485293,7976125545,21606904.69,debit card,success,40754774.68,4321.38,7,6303485293 chuyen den 7976125545,2024-09-12 01:01:40
186,6303485293,7976125545,14391730.23,debit card,success,30284003.63,2878.35,5,6303485293 chuyen den 7976125545,2024-09-12 01:02:00
187,6496913603,1333924038,43628718.05,debit card,success,48320793.72,8725.74,7,6496913603 chuyen den 1333924038,2024-09-12 01:02:20
188,6496913603,7976125545,33535054.68,atm card,success,16362876.65,6707.01,2,6496913603 chuyen den 7976125545,2024-09-12 01:02:40
189,1333924038,9274922399,43648634.09,credit card,success,5485150.38,8729.73,7,1333924038 chuyen den 9274922399,2024-09-12 01:03:00
190,6496913603,2843848429,19234493.25,atm card,success,38180934.7,3846.9,6,6496913603 chuyen den 2843848429,2024-09-12 01:03:20
191,7976125545,3960086839,17073802.96,wire transfer,success,33983731.41,3414.76,8,7976125545 chuyen den 3960086839,2024-09-12 01:03:40
192,1333924038,5920548482,6172042.46,credit card,success,14554621.6,1234.41,7,1333924038 chuyen den 5920548482,2024-09-12 01:04:00
193,5920548482,8203283023,7255000.94,atm card,success,13467314.16,1451.0,7,5920548482 chuyen den 8203283023,2024-09-12 01:04:20
194,6303485293,2843848429,28991625.69,wire transfer,success,17019081.07,5798.33,1,6303485293 chuyen den 2843848429,2024-09-12 01:04:40
195,7976125545,2843848429,5533271.96,debit card,success,21860663.92,1106.65,2,7976125545 chuyen den 2843848429,2024-09-12 01:05:00
196,3960086839,3960086839,18192645.91,atm card,success,47651401.67,3638.53,3,3960086839 chuyen den 3960086839,2024-09-12 01:05:20
197,3052928452,7976125545,4242666.34,credit card,success,3168185.63,848.53,2,3052928452 chuyen den 7976125545,2024-09-12 01:05:40
198,1333924038,1333924038,20593465.87,wire transfer,success,6754405.98,4118.69,7,1333924038 chuyen den 1333924038,2024-09-12 01:06:00
199,7976125545,8203283023,26373906.93,credit card,success,19714853.98,5274.78,5,7976125545 chuyen den 8203283023,2024-09-12 01:06:20
200,9274922399,8203283023,14011003.15,debit card,success,33480127.92,2802.2,3,9274922399 chuyen den 8203283023,2024-09-12 01:06:40
201,6496913603,9274922399,16004773.55,credit card,success,32413632.64,3200.95,2,6496913603 chuyen den 9274922399,2024-09-12 01:07:00
202,9274922399,6303485293,43825074.84,atm card,success,24634699.46,8765.01,6,9274922399 chuyen den 6303485293,2024-09-12 01:07:20
203,1333924038,9274922399,19184162.56,wire transfer,success,17145187.01,3836.83,6,1333924038 chuyen den 9274922399,2024-09-12 01:07:40
204,5920548482,6303485293,18996147.57,debit card,success,27445747.76,3799.23,10,5920548482 chuyen den 6303485293,2024-09-12 01:08:00
205,5920548482,6303485293,18470879.25,wire transfer,success,20000367.69,3694.18,5,5920548482 chuyen den 6303485293,2024-09-12 01:08:20
206,2843848429,1333924038,29163330.01,debit card,success,11571374.99,5832.67,1,2843848429 chuyen den 1333924038,2024-09-12 01:08:40
207,9274922399,3052928452,43042149.57,atm card,success,18084122.42,8608.43,6,9274922399 chuyen den 3052928452,2024-09-12 01:09:00
208,3052928452,8203283023,19069225.14,debit card,success,2546412.68,3813.85,2,3052928452 chuyen den 8203283023,2024-09-12 01:09:20
209,3960086839,6496913603,46851151.43,credit card,success,43868943.14,9370.23,4,3960086839 chuyen den 6496913603,2024-09-12 01:09:40
