citizenID,mortdue,value,derog,delinq,clage,ninq,clno,debtinc
001203010197,91951,569099,0,7,385.82793,5,59,24.82132
001203010198,202027,691176,8,5,453.05285,4,27,73.105
001203010199,494284,374520,7,0,120.41829,3,43,89.72184
001203010200,315717,332016,5,9,449.34844,2,36,61.66832
001203010201,452191,784584,8,15,246.95727,5,26,28.10894
001203010202,341014,741603,10,9,269.89124,4,44,78.13509
001203010203,93024,299478,10,0,454.65701,16,57,37.0145
001203010204,296761,961668,6,6,101.78712,10,17,42.63154
001203010205,442206,191457,8,15,471.66004,12,65,35.62845
001203010206,231517,790671,2,8,452.11275,20,32,81.60898
001203010207,127515,646495,4,9,151.78732,5,74,52.76695
001203010208,213581,743941,4,4,343.23203,17,34,42.55343
001203010209,11340,446023,3,14,256.36245,12,64,65.48727
001203010210,475446,982427,6,10,476.09596,8,3,29.10811
001203010211,127434,318274,8,8,414.80973,14,79,94.94245
001203010212,458717,112466,7,14,409.33805,16,37,30.7943
001203010213,472694,957147,1,1,459.60319,19,22,49.94933
001203010214,263708,540509,0,4,404.18835,8,29,49.03147
001203010215,424778,285768,7,6,476.98976,6,52,19.5661
001203010216,299618,188795,7,7,371.56617,15,13,37.40254
001203010217,92567,781583,5,0,486.58789,2,61,47.47658
001203010218,261847,328277,8,3,371.2504,8,73,58.90381
001203010219,238979,795002,7,0,396.48562,12,39,64.15122
001203010220,195062,603932,3,4,293.92415,20,41,95.74555
001203010221,195646,990912,6,0,301.96406,11,50,19.74817
001203010222,396223,266708,5,0,473.92613,14,65,79.52693
001203010223,450495,748733,2,8,392.99711,20,21,73.41715
001203010224,370542,305311,0,3,262.16871,8,65,47.91446
001203010225,121937,254971,7,8,463.45486,8,64,55.78867
001203010226,494972,300053,3,0,340.37657,0,67,98.38224
001203010227,44238,951634,7,11,386.19092,14,57,49.07195
001203010228,126342,446886,6,2,226.08685,8,3,56.5289
001203010229,471026,945373,9,4,153.74436,17,78,58.07008
001203010230,29206,684835,10,4,452.89303,10,69,13.24821
001203010231,391680,324700,8,7,178.46379,14,13,26.86699
001203010232,163643,545589,10,5,157.15024,6,54,91.19092
001203010233,137163,939522,7,1,127.92642,14,1,75.55819
001203010234,18984,664314,4,11,364.88918,9,5,23.04003
001203010235,73989,982722,4,7,494.159,15,13,16.6309
001203010236,80201,254600,5,14,339.53365,1,2,31.45437
001203010237,83864,839877,7,10,372.04574,9,4,88.4796
001203010238,359248,678626,7,15,492.22531,3,1,42.21294
001203010239,31083,768808,7,9,467.81,16,28,18.84141
001203010240,27441,313071,1,8,347.23747,12,20,36.88456
001203010241,139122,327480,0,5,151.06127,18,36,93.39736
001203010242,409973,756104,2,14,370.80254,2,26,38.83121
001203010243,290355,957859,5,8,435.14759,15,35,33.3362
001203010244,208082,311625,4,2,462.80716,1,52,32.03041
001203010245,388981,679016,2,14,368.76492,1,31,37.3013
001203010246,465893,524839,3,14,323.37246,8,4,19.68596
001203010247,177520,323784,4,3,461.68994,14,19,79.60766
001203010248,12064,429099,4,4,162.35444,17,6,22.01731
001203010249,289331,998774,3,12,178.59565,3,55,11.57171
001203010250,54124,819730,5,13,437.52899,10,68,55.05152
001203010251,10368,458895,7,5,339.35229,13,15,57.35433
001203010252,489228,980401,2,4,430.26135,13,52,35.71717
001203010253,219174,883632,7,2,358.01785,12,30,38.09557
001203010254,448890,803464,3,7,436.7992,18,61,87.51709
001203010255,232084,227085,4,9,233.08127,18,39,89.46912
001203010256,15810,293937,8,15,320.39859,0,75,86.62111
001203010257,207285,467656,6,13,191.46114,17,27,43.08441
001203010258,480548,171999,4,6,254.85426,3,18,39.39692
001203010259,113599,416006,6,10,241.32569,18,50,59.35466
001203010260,32447,146388,8,1,247.56775,17,58,69.47902
001203010261,312954,225687,3,5,264.12775,6,72,50.22552
001203010262,68486,715793,0,12,327.53343,14,32,28.43809
001203010263,37995,385068,10,11,408.96402,11,20,27.49746
001203010264,79843,401884,8,4,328.70001,16,54,12.60222
001203010265,137614,370255,1,3,193.97849,0,3,53.18433
001203010266,385892,556074,10,6,163.98383,18,14,82.62695
001203010267,471906,228324,7,10,182.99761,4,8,38.93018
001203010268,423025,293753,6,3,255.61779,13,49,21.24751
001203010269,434150,303529,3,4,154.38037,10,26,92.29313
001203010270,265860,522278,4,4,314.62769,5,29,70.55957
001203010271,195985,325299,7,10,367.64526,14,58,43.95845
001203010272,249760,861493,0,2,388.57698,6,71,68.60134
001203010273,18760,626432,5,5,345.50093,20,0,77.4021
001203010274,128248,920657,4,2,196.4297,9,47,63.63685
001203010275,407981,684065,7,15,283.07341,3,55,10.06871
001203010276,299095,127232,6,1,458.1609,12,38,16.3708
001203010277,124660,619082,8,14,139.30915,11,0,67.59782
001203010278,35127,889060,2,12,463.41403,5,62,95.66954
001203010279,396544,862453,2,0,406.03195,18,22,26.85665
001203010280,435301,381536,3,2,205.40968,10,63,13.80988
001203010281,91011,518261,10,9,485.4978,11,48,31.7457
001203010282,73534,796111,6,3,105.71076,13,70,61.59497
001203010283,15324,308639,6,4,297.59501,18,17,57.91634
001203010284,461793,718626,3,12,276.36453,20,34,37.69872
001203010285,397219,866069,2,9,365.02427,12,31,61.08796
001203010286,424812,288831,2,9,288.55479,7,8,82.65755
001203010287,208048,795204,9,0,472.56444,17,53,47.37964
001203010288,453192,229077,3,5,254.46894,3,48,12.60761
001203010289,44092,854279,1,12,237.02314,17,10,71.27507
001203010290,78994,423998,8,6,282.7896,15,4,68.41187
001203010291,79551,628643,9,6,468.21234,7,28,97.44656
001203010292,390245,189523,10,5,201.87664,13,24,35.13737
001203010293,298463,113362,9,6,246.98887,12,62,34.28346
001203010294,45074,523034,0,8,493.02386,0,76,51.71717
001203010295,457317,282024,1,0,339.07759,11,76,77.18038
001203010296,105356,550972,7,3,215.30793,17,57,23.3486
001203010297,293351,887344,1,2,454.52209,2,22,79.32388
001203010298,137562,387661,9,8,464.88245,4,33,56.39693
001203010299,397013,475059,2,3,458.23878,11,27,26.38133
001203010300,324330,375627,8,7,456.5916,12,26,10.81302
001203010301,477988,613227,4,10,251.55437,19,70,28.15129
001203010302,301998,383952,4,3,106.61189,12,14,98.37449
001203010303,257363,291070,3,4,448.67076,16,24,66.70775
001203010304,194552,914050,8,8,104.65212,7,63,83.83018
001203010305,461723,346738,8,11,224.75632,2,34,58.50953
001203010306,375996,381596,10,12,265.40503,7,55,17.82813
001203010307,121573,463660,10,15,190.52668,18,54,95.57805
001203010308,176548,709238,7,12,282.82546,6,7,43.43559
001203010309,475268,214235,7,0,400.37572,3,25,51.61096
001203010310,287299,142320,2,7,387.83414,13,30,57.00231
001203010311,316547,105542,5,0,172.7756,18,12,10.36993
001203010312,407924,666706,9,14,295.38696,5,6,90.31174
001203010313,184822,545693,8,13,418.04304,6,76,82.34606
001203010314,169341,638278,0,0,181.04264,12,36,97.74752
001203010315,18696,708869,2,3,315.64486,18,61,52.3442
001203010316,440281,529663,3,8,467.46903,1,1,70.97086
001203010317,421722,977785,10,8,184.57968,6,55,28.38201
001203010318,188887,917671,1,0,142.7593,10,11,66.09093
001203010319,436268,767241,4,14,116.37199,10,35,43.28871
001203010320,222837,920302,1,12,385.58057,0,3,71.72349
001203010321,374801,779519,6,5,264.61513,9,18,86.01524
001203010322,339857,323584,1,5,464.2685,5,40,14.45324
001203010323,172089,720702,8,5,435.82399,8,65,32.45521
001203010324,134975,331272,3,2,424.01009,16,80,52.81373
001203010325,257386,597057,8,6,183.28463,2,19,41.9708
001203010326,349886,899138,3,15,227.84637,20,54,27.45177
001203010327,277356,606374,9,4,305.25737,18,31,85.23994
001203010328,128794,708898,2,2,263.885,9,63,51.05456
001203010329,175798,546833,10,10,320.96917,17,12,79.85659
001203010330,356750,784333,10,12,372.41105,19,1,34.44224
001203010331,469848,568040,0,15,142.5155,5,61,80.55699
001203010332,446310,143533,5,14,495.48999,6,46,90.11053
001203010333,448881,633638,0,12,145.7554,13,31,42.6957
001203010334,212431,663397,10,11,281.48465,18,61,92.15887
001203010335,181087,138793,6,11,412.35472,19,76,44.70486
001203010336,243210,561960,2,8,349.19172,0,7,52.22033
001203010337,175594,543592,3,10,408.96503,10,12,43.65159
001203010338,341233,705970,2,15,228.23887,13,67,21.54209
001203010339,266470,566780,3,10,217.73748,2,18,86.22548
001203010340,389353,650510,6,2,140.86939,14,30,95.48454
001203010341,413747,257070,8,5,198.22505,19,26,69.01703
001203010342,296712,395035,5,12,477.56641,4,29,49.90955
001203010343,350795,659596,7,4,206.48254,11,26,70.41043
001203010344,497628,774936,5,12,256.80893,3,58,18.48186
001203010345,358554,791039,0,8,106.83001,1,46,90.35105
001203010346,12418,133447,2,6,359.73774,19,9,81.80361
001203010347,264254,882079,4,3,453.21582,4,9,48.74772
001203010348,241597,989706,7,14,313.35178,17,29,41.40968
001203010349,299009,720711,2,12,304.3397,6,31,76.11239
001203010350,37406,992863,9,14,433.73511,19,50,13.92465
001203010351,214238,724638,8,11,391.27733,18,13,50.57271
001203010352,413099,715978,1,12,268.76587,19,64,78.54153
001203010353,361275,357312,10,5,285.88708,16,53,74.44115
001203010354,493000,716182,5,0,359.46611,20,53,39.63598
001203010355,202643,899440,5,6,392.80308,1,8,97.39673
001203010356,491373,685071,9,12,257.84586,6,78,82.66083
001203010357,240382,500542,0,10,433.83162,11,50,85.61598
001203010358,159875,502991,7,4,408.3532,1,47,42.23441
001203010359,25306,956083,7,15,429.38948,16,3,96.72753
001203010360,460112,392845,6,13,235.45598,6,14,27.04037
001203010361,416956,600629,1,7,434.36452,19,34,82.49916
001203010362,438398,839243,1,4,448.88073,11,64,72.80002
001203010363,144593,881873,4,12,206.39092,17,79,28.55288
001203010364,71559,801407,1,7,351.32163,20,12,37.86128
001203010365,145850,843476,6,14,223.46766,16,7,93.63054
001203010366,364560,604611,5,0,173.11718,4,39,62.27021
001203010367,194024,766785,8,8,320.02315,2,5,85.86238
001203010368,175503,516208,0,10,450.13769,6,34,69.41241
001203010369,219016,521003,5,13,360.12389,19,19,70.77381
001203010370,188725,536406,3,3,369.74674,1,27,71.35732
001203010371,236964,573703,3,1,478.75064,3,37,75.38377
001203010372,19290,839422,2,15,259.00503,13,0,57.5554
001203010373,175920,773524,0,10,177.25423,18,52,93.77844
001203010374,304838,964322,10,9,138.2353,9,79,36.03722
001203010375,449357,598273,3,11,455.38341,15,37,43.43483
001203010376,95721,488180,9,11,284.58246,11,12,99.40629
001203010377,416331,276395,1,13,218.59071,1,39,66.05495
001203010378,139714,430326,8,5,231.91168,10,73,62.35092
001203010379,45557,615131,7,3,298.9765,5,30,43.63245
001203010380,171977,308846,5,2,201.38037,1,27,93.65738
001203010381,58622,292988,5,4,315.72866,5,80,10.12116
001203010382,437882,490402,8,11,260.98015,20,38,43.61662
001203010383,445303,789709,8,10,351.82983,16,80,60.09486
001203010384,232765,642456,8,12,391.92722,6,43,96.81497
001203010385,376303,668133,8,13,441.02106,8,54,74.13679
001203010386,102170,987353,1,10,407.17718,16,36,71.91926
001203010387,122694,907512,10,14,304.08407,16,80,53.24405
001203010388,298030,529201,3,9,388.54831,7,42,50.87443
001203010389,282435,330216,9,5,109.02767,11,46,47.17029
001203010390,283949,187500,9,8,120.82566,7,78,64.61427
001203010391,242851,109519,0,0,154.69633,1,56,59.50713
001203010392,347213,960785,6,0,423.55027,16,56,28.85215
001203010393,291766,614839,2,9,456.20757,15,74,21.02961
001203010394,256919,420625,0,5,394.06859,6,54,31.63772
001203010395,356705,707593,0,15,180.34763,4,34,71.9007
001203010396,52895,322839,8,8,184.11664,18,53,53.55894
001203010397,455579,251289,8,7,203.20426,12,37,20.00215
001203010398,448350,778921,2,8,125.47817,18,19,56.95929
001203010399,203394,377476,4,3,462.00922,3,65,34.07323
001203010400,395896,218109,9,1,490.85965,14,4,82.9185
001203010401,252452,624681,5,5,499.44582,2,60,87.77269
001203010402,428983,145847,5,6,191.64496,6,58,87.41874
001203010403,220889,678911,2,1,395.67917,0,66,46.20795
001203010404,264559,241174,0,5,263.00937,19,62,46.53168
001203010405,216254,872258,6,8,430.11083,8,31,54.51377
001203010406,88881,228774,2,7,145.26589,7,49,76.37162
001203010407,467603,693569,6,5,381.7299,12,23,34.9708
001203010408,434324,978398,10,12,443.74247,20,11,35.52803
001203010409,215451,772661,6,5,498.21057,15,9,74.68592
001203010410,57960,374209,3,10,245.51266,17,54,29.70894
001203010411,295662,876205,8,14,115.81615,0,12,27.23508
001203010412,393679,576328,0,1,275.48256,17,15,64.64436
001203010413,342228,466175,0,2,159.52873,19,1,73.73871
001203010414,321546,264928,9,9,116.00392,0,62,51.98326
001203010415,210020,878391,10,12,379.86435,14,33,10.77165
001203010416,369614,597245,0,15,107.66519,11,47,75.09436
001203010417,128159,929074,8,12,237.29606,8,22,52.88987
001203010418,53838,697133,7,8,370.53042,16,55,55.49282
001203010419,19881,461499,2,10,321.97202,4,0,25.40392
001203010420,237399,330960,7,1,465.167,6,16,31.86756
001203010421,442337,501717,1,8,142.28178,16,55,69.61803
001203010422,386336,316675,4,14,342.40723,13,44,21.65191
001203010423,271428,373737,0,0,271.05159,20,36,99.16508
001203010424,259238,481118,10,9,475.52349,12,25,97.8301
001203010425,262122,170291,4,8,348.3185,3,26,34.01733
001203010426,218114,589938,6,14,187.67895,8,17,30.72293
001203010427,447952,172400,6,9,287.0966,12,74,87.35156
001203010428,284384,295493,3,14,279.31585,0,29,35.80164
001203010429,406128,954705,0,7,352.35685,0,6,43.21506
001203010430,115099,832875,7,12,311.79571,14,7,96.60163
001203010431,74386,631032,2,5,176.7053,15,79,71.32287
001203010432,325586,320747,3,9,326.21358,10,29,51.18913
001203010433,428409,668122,2,1,408.41162,9,61,70.74362
001203010434,195268,657375,1,12,458.73714,13,8,69.12896
001203010435,286960,330834,2,1,469.34286,0,27,91.38164
001203010436,62456,750748,8,12,397.96049,0,56,94.00606
001203010437,341392,596728,4,13,334.50828,3,42,21.27495
001203010438,25226,838464,8,8,115.38034,0,38,70.94099
001203010439,355817,678438,6,4,397.40116,14,36,28.43111
001203010440,301639,300434,2,14,121.83302,4,29,34.27732
001203010441,359404,869978,4,9,164.60476,2,1,83.92614
001203010442,405419,579603,7,0,393.37858,4,4,68.01355
001203010443,232109,117081,0,5,182.66523,17,30,21.11524
001203010444,70062,677646,6,13,293.4867,2,63,83.94466
001203010445,476849,773766,1,8,349.51128,20,51,74.37359
001203010446,407747,155865,1,10,157.75737,0,62,99.4565
001203010447,340695,683410,7,13,445.94047,4,66,62.65202
001203010448,187660,256047,1,15,482.14271,10,20,89.89575
001203010449,482924,831955,1,7,217.82328,12,80,94.41607
001203010450,45065,344234,7,13,356.33463,0,56,10.61959
001203010451,218415,112672,8,9,173.05018,19,56,80.78724
001203010452,145016,910318,7,7,405.01131,13,64,76.42347
001203010453,105091,791263,7,11,351.82363,1,64,64.40371
001203010454,309424,401863,1,7,482.93084,9,76,29.97287
001203010455,436260,770586,5,6,167.32456,9,79,18.41168
001203010456,468308,187789,2,7,459.33318,0,6,50.28479
001203010457,322798,693447,9,2,367.48231,2,54,86.8974
001203010458,373995,842934,7,7,349.73335,15,79,62.40177
001203010459,487106,256548,2,10,311.97577,15,69,79.76289
001203010460,258958,864824,10,2,119.94883,3,33,81.36367
001203010461,301256,473817,2,15,254.18948,11,79,71.20174
001203010462,496789,411040,6,1,158.55306,18,42,26.63286
001203010463,40511,463597,5,1,252.97602,15,3,51.97747
001203010464,484603,563087,9,15,194.21357,9,38,93.11767
001203010465,14087,274513,9,8,285.30889,0,23,55.15027
001203010466,186536,979763,5,8,362.99207,20,61,91.7653
001203010467,108336,759512,2,2,150.31212,7,72,93.38805
001203010468,312932,217724,5,5,305.2251,17,46,25.44124
001203010469,245558,428717,1,1,226.9401,14,47,79.63389
001203010470,296676,483897,9,13,130.52467,12,20,15.39562
001203010471,422725,487039,10,10,171.7754,5,76,16.25174
001203010472,448259,250251,6,5,117.09133,1,74,48.06715
001203010473,267749,738444,10,1,467.36355,8,64,42.56851
001203010474,219139,306017,6,13,460.06018,15,0,46.61837
001203010475,189301,409262,0,14,431.19681,5,31,15.0493
001203010476,50788,176472,7,9,120.38446,0,51,54.22341
001203010477,207919,658656,1,13,344.72882,4,52,97.18298
001203010478,172645,854212,9,7,162.23771,17,3,98.57681
001203010479,419648,462500,10,10,306.52019,1,45,47.25769
